name,version,directory,repository,summary,from package.json,from license,from readme
debug,2.2.0,/Users/dzdrazil/work/random_tests/redux-universal/node_modules/express/node_modules/debug,http://github.com/visionmedia/debug,MIT,MIT,,MIT
decamelize,1.0.0,/Users/dzdrazil/work/random_tests/redux-universal/node_modules/yargs/node_modules/decamelize,git+https://github.com/sindresorhus/decamelize,MIT,MIT,,MIT
deep-is,0.1.3,/Users/dzdrazil/work/random_tests/redux-universal/node_modules/eslint/node_modules/optionator/node_modules/deep-is,git+ssh://git@github.com/thlorenz/deep-is,MIT,MIT,MIT,MIT
defaults,1.0.2,/Users/dzdrazil/work/random_tests/redux-universal/node_modules/gulp/node_modules/vinyl-fs/node_modules/defaults,http://github.com/tmpvar/defaults,MIT,MIT,MIT,
define-properties,1.1.1,/Users/dzdrazil/work/random_tests/redux-universal/node_modules/babelify/node_modules/babel-core/node_modules/is-integer/node_modules/is-nan/node_modules/define-properties,http://github.com/ljharb/define-properties,MIT,MIT,MIT,
defined,1.0.0,/Users/dzdrazil/work/random_tests/redux-universal/node_modules/watchify/node_modules/defined,http://github.com/substack/defined,MIT,MIT,MIT,MIT
defs,1.1.0,/Users/dzdrazil/work/random_tests/redux-universal/node_modules/babelify/node_modules/babel-core/node_modules/regenerator/node_modules/defs,git+https://github.com/olov/defs,MIT,MIT,,
delayed-stream,0.0.5,/Users/dzdrazil/work/random_tests/redux-universal/node_modules/gulp-sass/node_modules/node-sass/node_modules/pangyp/node_modules/request/node_modules/combined-stream/node_modules/delayed-stream,http://github.com/felixge/node-delayed-stream,MIT,,,MIT
delayed-stream,1.0.0,/Users/dzdrazil/work/random_tests/redux-universal/node_modules/gulp-sass/node_modules/node-sass/node_modules/request/node_modules/combined-stream/node_modules/delayed-stream,http://github.com/felixge/node-delayed-stream,MIT,MIT,,MIT
delegates,0.1.0,/Users/dzdrazil/work/random_tests/redux-universal/node_modules/gulp-sass/node_modules/node-sass/node_modules/pangyp/node_modules/npmlog/node_modules/are-we-there-yet/node_modules/delegates,http://github.com/visionmedia/node-delegates,MIT,MIT,,MIT
depd,1.0.1,/Users/dzdrazil/work/random_tests/redux-universal/node_modules/express/node_modules/depd,git+https://github.com/dougwilson/nodejs-depd,MIT,MIT,MIT,
deprecated,0.0.1,/Users/dzdrazil/work/random_tests/redux-universal/node_modules/gulp/node_modules/deprecated,http://github.com/wearefractal/deprecated,MIT,MIT,,
deps-sort,1.3.9,/Users/dzdrazil/work/random_tests/redux-universal/node_modules/browserify/node_modules/deps-sort,http://github.com/substack/deps-sort,MIT,MIT,MIT,MIT
destroy,1.0.3,/Users/dzdrazil/work/random_tests/redux-universal/node_modules/express/node_modules/send/node_modules/destroy,git+https://github.com/stream-utils/destroy,MIT,MIT,,
detect-indent,3.0.1,/Users/dzdrazil/work/random_tests/redux-universal/node_modules/babelify/node_modules/babel-core/node_modules/detect-indent,git+https://github.com/sindresorhus/detect-indent,MIT,MIT,MIT,MIT
detective,4.1.1,/Users/dzdrazil/work/random_tests/redux-universal/node_modules/browserify/node_modules/module-deps/node_modules/detective,http://github.com/substack/node-detective,MIT,MIT,MIT,MIT
diffie-hellman,3.0.2,/Users/dzdrazil/work/random_tests/redux-universal/node_modules/browserify/node_modules/crypto-browserify/node_modules/diffie-hellman,git+https://github.com/crypto-browserify/diffie-hellman,MIT,MIT,,
doctrine,0.6.4,/Users/dzdrazil/work/random_tests/redux-universal/node_modules/eslint/node_modules/doctrine,git+ssh://git@github.com/Constellation/doctrine,Apache;BSD,BSD,Apache,Apache
domain-browser,1.1.4,/Users/dzdrazil/work/random_tests/redux-universal/node_modules/browserify/node_modules/domain-browser,git+ssh://git@github.com/bevry/domain-browser,MIT,MIT,MIT,
duplexer2,0.0.2,/Users/dzdrazil/work/random_tests/redux-universal/node_modules/gulp-util/node_modules/multipipe/node_modules/duplexer2,http://github.com/deoxxa/duplexer2,BSD,BSD,,
ee-first,1.1.1,/Users/dzdrazil/work/random_tests/redux-universal/node_modules/express/node_modules/on-finished/node_modules/ee-first,git+https://github.com/jonathanong/ee-first,MIT,MIT,MIT,
elliptic,3.1.0,/Users/dzdrazil/work/random_tests/redux-universal/node_modules/browserify/node_modules/crypto-browserify/node_modules/browserify-sign/node_modules/elliptic,git+ssh://git@github.com/indutny/elliptic,MIT,MIT,,MIT
end-of-stream,0.1.5,/Users/dzdrazil/work/random_tests/redux-universal/node_modules/gulp/node_modules/orchestrator/node_modules/end-of-stream,http://github.com/mafintosh/end-of-stream,MIT,MIT,,
envify,3.4.0,/Users/dzdrazil/work/random_tests/redux-universal/node_modules/react/node_modules/envify,http://github.com/hughsk/envify,MIT,MIT,,
es5-ext,0.10.7,/Users/dzdrazil/work/random_tests/redux-universal/node_modules/eslint/node_modules/escope/node_modules/es6-weak-map/node_modules/es5-ext,http://github.com/medikoo/es5-ext,MIT,MIT,,
es6-iterator,0.1.3,/Users/dzdrazil/work/random_tests/redux-universal/node_modules/eslint/node_modules/escope/node_modules/es6-weak-map/node_modules/es6-iterator,http://github.com/medikoo/es6-iterator,MIT,MIT,,
es6-map,0.1.1,/Users/dzdrazil/work/random_tests/redux-universal/node_modules/eslint/node_modules/escope/node_modules/es6-map,http://github.com/medikoo/es6-map,MIT,MIT,,
es6-promise,2.3.0,/Users/dzdrazil/work/random_tests/redux-universal/node_modules/axios/node_modules/es6-promise,http://github.com/jakearchibald/ES6-Promises,MIT,MIT,,
es6-set,0.1.1,/Users/dzdrazil/work/random_tests/redux-universal/node_modules/eslint/node_modules/escope/node_modules/es6-map/node_modules/es6-set,http://github.com/medikoo/es6-set,MIT,MIT,,
es6-symbol,0.1.1,/Users/dzdrazil/work/random_tests/redux-universal/node_modules/eslint/node_modules/escope/node_modules/es6-map/node_modules/es6-symbol,http://github.com/medikoo/es6-symbol,MIT,MIT,,
es6-symbol,2.0.1,/Users/dzdrazil/work/random_tests/redux-universal/node_modules/eslint/node_modules/escope/node_modules/es6-weak-map/node_modules/es6-symbol,http://github.com/medikoo/es6-symbol,MIT,MIT,,
es6-weak-map,0.1.4,/Users/dzdrazil/work/random_tests/redux-universal/node_modules/eslint/node_modules/escope/node_modules/es6-weak-map,http://github.com/medikoo/es6-weak-map,MIT,MIT,,
escape-html,1.0.2,/Users/dzdrazil/work/random_tests/redux-universal/node_modules/express/node_modules/escape-html,git+https://github.com/component/escape-html,MIT,MIT,MIT,
escape-string-regexp,1.0.3,/Users/dzdrazil/work/random_tests/redux-universal/node_modules/gulp-util/node_modules/chalk/node_modules/escape-string-regexp,git+https://github.com/sindresorhus/escape-string-regexp,MIT,MIT,MIT,MIT
escodegen,1.6.1,/Users/dzdrazil/work/random_tests/redux-universal/node_modules/browserify/node_modules/module-deps/node_modules/detective/node_modules/escodegen,git+ssh://git@github.com/estools/escodegen,BSD,BSD,,
escope,3.2.0,/Users/dzdrazil/work/random_tests/redux-universal/node_modules/eslint/node_modules/escope,git+https://github.com/estools/escope,BSD-2-Clause,BSD-2-Clause,,
eslint,1.1.0,/Users/dzdrazil/work/random_tests/redux-universal/node_modules/eslint,git+https://github.com/eslint/eslint,MIT,MIT,,
eslint-config-airbnb,0.0.7,/Users/dzdrazil/work/random_tests/redux-universal/node_modules/eslint-config-airbnb,git+https://github.com/airbnb/javascript,MIT,MIT,,
eslint-plugin-react,3.2.2,/Users/dzdrazil/work/random_tests/redux-universal/node_modules/eslint-plugin-react,git+https://github.com/yannickcr/eslint-plugin-react,MIT,MIT,MIT,
espree,2.2.3,/Users/dzdrazil/work/random_tests/redux-universal/node_modules/eslint/node_modules/espree,git+ssh://git@github.com/eslint/espree,BSD,BSD,,BSD
esprima,2.2.0,/Users/dzdrazil/work/random_tests/redux-universal/node_modules/eslint/node_modules/js-yaml/node_modules/esprima,git+https://github.com/jquery/esprima,BSD,BSD,,BSD
esprima,1.2.5,/Users/dzdrazil/work/random_tests/redux-universal/node_modules/browserify/node_modules/module-deps/node_modules/detective/node_modules/escodegen/node_modules/esprima,git+ssh://git@github.com/ariya/esprima,BSD,BSD,,BSD
esprima-fb,13001.1001.0-dev-harmony-fb,/Users/dzdrazil/work/random_tests/redux-universal/node_modules/react/node_modules/envify/node_modules/jstransform/node_modules/esprima-fb,git+ssh://git@github.com/facebook/esprima,BSD,BSD,,BSD
esprima-fb,15001.1.0-dev-harmony-fb,/Users/dzdrazil/work/random_tests/redux-universal/node_modules/babelify/node_modules/babel-core/node_modules/regenerator/node_modules/esprima-fb,git+ssh://git@github.com/facebook/esprima,BSD,BSD,,BSD
esprima-fb,15001.1001.0-dev-harmony-fb,/Users/dzdrazil/work/random_tests/redux-universal/node_modules/babelify/node_modules/babel-core/node_modules/regexpu/node_modules/recast/node_modules/esprima-fb,git+ssh://git@github.com/facebook/esprima,BSD,BSD,,BSD
esprima-fb,8001.1001.0-dev-harmony-fb,/Users/dzdrazil/work/random_tests/redux-universal/node_modules/babelify/node_modules/babel-core/node_modules/regenerator/node_modules/defs/node_modules/esprima-fb,git+ssh://git@github.com/facebook/esprima,BSD,BSD,,BSD
esrecurse,3.1.1,/Users/dzdrazil/work/random_tests/redux-universal/node_modules/eslint/node_modules/escope/node_modules/esrecurse,git+ssh://git@github.com/estools/esrecurse,BSD,BSD,,
estraverse,4.1.0,/Users/dzdrazil/work/random_tests/redux-universal/node_modules/eslint/node_modules/estraverse,git+ssh://git@github.com/estools/estraverse,BSD,BSD,,
estraverse,1.9.3,/Users/dzdrazil/work/random_tests/redux-universal/node_modules/browserify/node_modules/module-deps/node_modules/detective/node_modules/escodegen/node_modules/estraverse,git+ssh://git@github.com/estools/estraverse,BSD,BSD,,
estraverse,3.1.0,/Users/dzdrazil/work/random_tests/redux-universal/node_modules/eslint/node_modules/escope/node_modules/estraverse,git+ssh://git@github.com/estools/estraverse,BSD,BSD,,
estraverse-fb,1.3.1,/Users/dzdrazil/work/random_tests/redux-universal/node_modules/eslint/node_modules/estraverse-fb,git+https://github.com/RReverser/estraverse-fb,MIT,MIT,MIT,
esutils,2.0.2,/Users/dzdrazil/work/random_tests/redux-universal/node_modules/babelify/node_modules/babel-core/node_modules/esutils,git+ssh://git@github.com/estools/esutils,BSD,BSD,,
esutils,1.1.6,/Users/dzdrazil/work/random_tests/redux-universal/node_modules/eslint/node_modules/doctrine/node_modules/esutils,git+ssh://git@github.com/Constellation/esutils,BSD,BSD,,
etag,1.7.0,/Users/dzdrazil/work/random_tests/redux-universal/node_modules/express/node_modules/etag,git+https://github.com/jshttp/etag,MIT,MIT,MIT,
event-emitter,0.3.3,/Users/dzdrazil/work/random_tests/redux-universal/node_modules/eslint/node_modules/escope/node_modules/es6-map/node_modules/event-emitter,http://github.com/medikoo/event-emitter,MIT,MIT,,
events,1.0.2,/Users/dzdrazil/work/random_tests/redux-universal/node_modules/browserify/node_modules/events,http://github.com/Gozala/events,MIT,MIT,MIT,
expand-brackets,0.1.3,/Users/dzdrazil/work/random_tests/redux-universal/node_modules/watchify/node_modules/anymatch/node_modules/micromatch/node_modules/expand-brackets,git+https://github.com/jonschlinkert/expand-brackets,MIT,MIT,MIT,MIT
expand-range,1.8.1,/Users/dzdrazil/work/random_tests/redux-universal/node_modules/watchify/node_modules/anymatch/node_modules/micromatch/node_modules/braces/node_modules/expand-range,http://github.com/jonschlinkert/expand-range,MIT,MIT,MIT,MIT
express,4.13.3,/Users/dzdrazil/work/random_tests/redux-universal/node_modules/express,git+https://github.com/strongloop/express,MIT,MIT,MIT,
extend,2.0.1,/Users/dzdrazil/work/random_tests/redux-universal/node_modules/gulp/node_modules/liftoff/node_modules/extend,git+https://github.com/justmoon/node-extend,MIT,MIT,MIT,
extend,3.0.0,/Users/dzdrazil/work/random_tests/redux-universal/node_modules/gulp-sass/node_modules/node-sass/node_modules/request/node_modules/extend,git+https://github.com/justmoon/node-extend,MIT,MIT,MIT,
extglob,0.3.1,/Users/dzdrazil/work/random_tests/redux-universal/node_modules/watchify/node_modules/anymatch/node_modules/micromatch/node_modules/extglob,http://github.com/jonschlinkert/extglob,MIT,MIT,MIT,MIT
fast-levenshtein,1.0.6,/Users/dzdrazil/work/random_tests/redux-universal/node_modules/eslint/node_modules/optionator/node_modules/fast-levenshtein,git+https://github.com/hiddentao/fast-levenshtein,MIT,MIT,,MIT
figures,1.3.5,/Users/dzdrazil/work/random_tests/redux-universal/node_modules/eslint/node_modules/inquirer/node_modules/figures,git+https://github.com/sindresorhus/figures,MIT,MIT,,MIT
filename-regex,2.0.0,/Users/dzdrazil/work/random_tests/redux-universal/node_modules/watchify/node_modules/anymatch/node_modules/micromatch/node_modules/filename-regex,http://github.com/regexps/filename-regex,MIT,MIT,,MIT
fill-range,2.2.2,/Users/dzdrazil/work/random_tests/redux-universal/node_modules/watchify/node_modules/anymatch/node_modules/micromatch/node_modules/braces/node_modules/expand-range/node_modules/fill-range,http://github.com/jonschlinkert/fill-range,MIT,MIT,MIT,MIT
finalhandler,0.4.0,/Users/dzdrazil/work/random_tests/redux-universal/node_modules/express/node_modules/finalhandler,git+https://github.com/pillarjs/finalhandler,MIT,MIT,MIT,
find-index,0.1.1,/Users/dzdrazil/work/random_tests/redux-universal/node_modules/gulp/node_modules/vinyl-fs/node_modules/glob-stream/node_modules/glob2base/node_modules/find-index,http://github.com/jsdf/find-index,MIT,MIT,,
findup-sync,0.2.1,/Users/dzdrazil/work/random_tests/redux-universal/node_modules/gulp/node_modules/liftoff/node_modules/findup-sync,http://github.com/cowboy/node-findup-sync,MIT,MIT,,
first-chunk-stream,1.0.0,/Users/dzdrazil/work/random_tests/redux-universal/node_modules/gulp-sourcemaps/node_modules/strip-bom/node_modules/first-chunk-stream,git+https://github.com/sindresorhus/first-chunk-stream,MIT,MIT,,MIT
flagged-respawn,0.3.1,/Users/dzdrazil/work/random_tests/redux-universal/node_modules/gulp/node_modules/liftoff/node_modules/flagged-respawn,http://github.com/tkellen/node-flagged-respawn,MIT,MIT,,
for-in,0.1.4,/Users/dzdrazil/work/random_tests/redux-universal/node_modules/watchify/node_modules/anymatch/node_modules/micromatch/node_modules/object.omit/node_modules/for-own/node_modules/for-in,http://github.com/jonschlinkert/for-in,MIT,MIT,MIT,MIT
for-own,0.1.3,/Users/dzdrazil/work/random_tests/redux-universal/node_modules/watchify/node_modules/anymatch/node_modules/micromatch/node_modules/object.omit/node_modules/for-own,http://github.com/jonschlinkert/for-own,MIT,MIT,MIT,MIT
foreach,2.0.5,/Users/dzdrazil/work/random_tests/redux-universal/node_modules/babelify/node_modules/babel-core/node_modules/is-integer/node_modules/is-nan/node_modules/define-properties/node_modules/foreach,http://github.com/manuelstofer/foreach,MIT,MIT,MIT,
forever-agent,0.5.2,/Users/dzdrazil/work/random_tests/redux-universal/node_modules/gulp-sass/node_modules/node-sass/node_modules/pangyp/node_modules/request/node_modules/forever-agent,git+https://github.com/mikeal/forever-agent,Apache,,Apache,
forever-agent,0.6.1,/Users/dzdrazil/work/random_tests/redux-universal/node_modules/gulp-sass/node_modules/node-sass/node_modules/request/node_modules/forever-agent,git+https://github.com/mikeal/forever-agent,Apache;Apache-2.0,Apache-2.0,Apache,
fork-stream,0.0.4,/Users/dzdrazil/work/random_tests/redux-universal/node_modules/gulp-if/node_modules/ternary-stream/node_modules/fork-stream,http://github.com/deoxxa/fork-stream,BSD,BSD,,
form-data,0.2.0,/Users/dzdrazil/work/random_tests/redux-universal/node_modules/gulp-sass/node_modules/node-sass/node_modules/pangyp/node_modules/request/node_modules/form-data,http://github.com/felixge/node-form-data,MIT,MIT,,MIT
form-data,1.0.0-rc3,/Users/dzdrazil/work/random_tests/redux-universal/node_modules/gulp-sass/node_modules/node-sass/node_modules/request/node_modules/form-data,http://github.com/form-data/form-data,MIT,MIT,,MIT
forwarded,0.1.0,/Users/dzdrazil/work/random_tests/redux-universal/node_modules/express/node_modules/proxy-addr/node_modules/forwarded,git+https://github.com/jshttp/forwarded,MIT,MIT,MIT,
fresh,0.3.0,/Users/dzdrazil/work/random_tests/redux-universal/node_modules/express/node_modules/fresh,git+https://github.com/jshttp/fresh,MIT,MIT,MIT,
fs-readdir-recursive,0.1.2,/Users/dzdrazil/work/random_tests/redux-universal/node_modules/babelify/node_modules/babel-core/node_modules/fs-readdir-recursive,git+https://github.com/fs-utils/fs-readdir-recursive,MIT,MIT,MIT,
fsevents,0.3.8,/Users/dzdrazil/work/random_tests/redux-universal/node_modules/watchify/node_modules/chokidar/node_modules/fsevents,git+https://github.com/strongloop/fsevents,MIT,MIT,MIT,MIT
fstream,1.0.7,/Users/dzdrazil/work/random_tests/redux-universal/node_modules/gulp-sass/node_modules/node-sass/node_modules/pangyp/node_modules/fstream,http://github.com/isaacs/fstream,ISC,ISC,ISC,
function-bind,1.0.2,/Users/dzdrazil/work/random_tests/redux-universal/node_modules/browserify/node_modules/has/node_modules/function-bind,http://github.com/Raynos/function-bind,MIT,MIT,,MIT
gauge,1.0.2,/Users/dzdrazil/work/random_tests/redux-universal/node_modules/gulp-sass/node_modules/node-sass/node_modules/pangyp/node_modules/npmlog/node_modules/gauge,git+https://github.com/iarna/gauge,ISC,ISC,,
gaze,0.5.1,/Users/dzdrazil/work/random_tests/redux-universal/node_modules/gulp-sass/node_modules/node-sass/node_modules/gaze,http://github.com/shama/gaze,MIT,MIT,,MIT
generate-function,2.0.0,/Users/dzdrazil/work/random_tests/redux-universal/node_modules/eslint/node_modules/is-my-json-valid/node_modules/generate-function,git+https://github.com/mafintosh/generate-function,MIT,MIT,,
generate-object-property,1.2.0,/Users/dzdrazil/work/random_tests/redux-universal/node_modules/eslint/node_modules/is-my-json-valid/node_modules/generate-object-property,git+https://github.com/mafintosh/generate-object-property,MIT,MIT,MIT,
get-stdin,4.0.1,/Users/dzdrazil/work/random_tests/redux-universal/node_modules/gulp-util/node_modules/dateformat/node_modules/get-stdin,git+https://github.com/sindresorhus/get-stdin,MIT,MIT,,MIT
glob,4.2.2,/Users/dzdrazil/work/random_tests/redux-universal/node_modules/babelify/node_modules/babel-core/node_modules/regenerator/node_modules/commoner/node_modules/glob,http://github.com/isaacs/node-glob,ISC,ISC,ISC,
glob,5.0.14,/Users/dzdrazil/work/random_tests/redux-universal/node_modules/gulp-sass/node_modules/node-sass/node_modules/glob,http://github.com/isaacs/node-glob,ISC,ISC,ISC,
glob,3.1.21,/Users/dzdrazil/work/random_tests/redux-universal/node_modules/gulp-sass/node_modules/node-sass/node_modules/gaze/node_modules/globule/node_modules/glob,http://github.com/isaacs/node-glob,BSD,BSD,BSD,
glob,4.5.3,/Users/dzdrazil/work/random_tests/redux-universal/node_modules/browserify/node_modules/glob,http://github.com/isaacs/node-glob,ISC,ISC,ISC,
glob,4.3.5,/Users/dzdrazil/work/random_tests/redux-universal/node_modules/gulp/node_modules/liftoff/node_modules/findup-sync/node_modules/glob,http://github.com/isaacs/node-glob,ISC,ISC,ISC,
glob-base,0.2.0,/Users/dzdrazil/work/random_tests/redux-universal/node_modules/watchify/node_modules/anymatch/node_modules/micromatch/node_modules/parse-glob/node_modules/glob-base,http://github.com/jonschlinkert/glob-base,MIT,MIT,MIT,MIT
glob-parent,1.2.0,/Users/dzdrazil/work/random_tests/redux-universal/node_modules/watchify/node_modules/chokidar/node_modules/glob-parent,git+https://github.com/es128/glob-parent,ISC,ISC,ISC,
glob-stream,3.1.18,/Users/dzdrazil/work/random_tests/redux-universal/node_modules/gulp/node_modules/vinyl-fs/node_modules/glob-stream,http://github.com/wearefractal/glob-stream,MIT,MIT,,
glob-watcher,0.0.6,/Users/dzdrazil/work/random_tests/redux-universal/node_modules/gulp/node_modules/vinyl-fs/node_modules/glob-watcher,http://github.com/wearefractal/glob-watcher,MIT,MIT,,
glob2base,0.0.12,/Users/dzdrazil/work/random_tests/redux-universal/node_modules/gulp/node_modules/vinyl-fs/node_modules/glob-stream/node_modules/glob2base,http://github.com/wearefractal/glob2base,MIT,MIT,,
globals,6.4.1,/Users/dzdrazil/work/random_tests/redux-universal/node_modules/babelify/node_modules/babel-core/node_modules/globals,git+https://github.com/sindresorhus/globals,MIT,MIT,MIT,MIT
globals,8.3.0,/Users/dzdrazil/work/random_tests/redux-universal/node_modules/eslint/node_modules/globals,git+https://github.com/sindresorhus/globals,MIT,MIT,MIT,MIT
globule,0.1.0,/Users/dzdrazil/work/random_tests/redux-universal/node_modules/gulp-sass/node_modules/node-sass/node_modules/gaze/node_modules/globule,http://github.com/cowboy/node-globule,MIT,MIT,,MIT
graceful-fs,4.1.2,/Users/dzdrazil/work/random_tests/redux-universal/node_modules/watchify/node_modules/chokidar/node_modules/readdirp/node_modules/graceful-fs,git+https://github.com/isaacs/node-graceful-fs,ISC,ISC,ISC,
graceful-fs,1.2.3,/Users/dzdrazil/work/random_tests/redux-universal/node_modules/gulp-sass/node_modules/node-sass/node_modules/gaze/node_modules/globule/node_modules/glob/node_modules/graceful-fs,http://github.com/isaacs/node-graceful-fs,BSD,BSD,BSD,
graceful-fs,3.0.8,/Users/dzdrazil/work/random_tests/redux-universal/node_modules/gulp-sourcemaps/node_modules/graceful-fs,http://github.com/isaacs/node-graceful-fs,ISC,ISC,ISC,
graceful-readlink,1.0.1,/Users/dzdrazil/work/random_tests/redux-universal/node_modules/gulp-minify-css/node_modules/clean-css/node_modules/commander/node_modules/graceful-readlink,http://github.com/zhiyelee/graceful-readlink,MIT,MIT,MIT,MIT
gulp,3.9.0,/Users/dzdrazil/work/random_tests/redux-universal/node_modules/gulp,git+https://github.com/gulpjs/gulp,MIT,MIT,MIT,
gulp-if,1.2.5,/Users/dzdrazil/work/random_tests/redux-universal/node_modules/gulp-if,http://github.com/robrich/gulp-if,MIT,MIT,,
gulp-match,0.2.1,/Users/dzdrazil/work/random_tests/redux-universal/node_modules/gulp-if/node_modules/gulp-match,http://github.com/robrich/gulp-match,MIT,MIT,,
gulp-minify-css,1.2.0,/Users/dzdrazil/work/random_tests/redux-universal/node_modules/gulp-minify-css,git+https://github.com/murphydanger/gulp-minify-css,MIT,MIT,,
gulp-plumber,1.0.1,/Users/dzdrazil/work/random_tests/redux-universal/node_modules/gulp-plumber,http://github.com/floatdrop/gulp-plumber,MIT,MIT,,
gulp-sass,2.0.4,/Users/dzdrazil/work/random_tests/redux-universal/node_modules/gulp-sass,http://github.com/dlmanning/gulp-sass,MIT,MIT,MIT,
gulp-sourcemaps,1.5.2,/Users/dzdrazil/work/random_tests/redux-universal/node_modules/gulp-sourcemaps,http://github.com/floridoo/gulp-sourcemaps,ISC,ISC,,
gulp-uglify,1.2.0,/Users/dzdrazil/work/random_tests/redux-universal/node_modules/gulp-uglify,git+https://github.com/terinjokes/gulp-uglify,MIT,MIT,,
gulp-util,3.0.6,/Users/dzdrazil/work/random_tests/redux-universal/node_modules/gulp-util,git+https://github.com/wearefractal/gulp-util,MIT,MIT,,
har-validator,1.8.0,/Users/dzdrazil/work/random_tests/redux-universal/node_modules/gulp-sass/node_modules/node-sass/node_modules/request/node_modules/har-validator,git+https://github.com/ahmadnassri/har-validator,ISC,ISC,,
has,1.0.1,/Users/dzdrazil/work/random_tests/redux-universal/node_modules/browserify/node_modules/has,http://github.com/tarruda/has,MIT,MIT,,
has-ansi,2.0.0,/Users/dzdrazil/work/random_tests/redux-universal/node_modules/gulp-util/node_modules/chalk/node_modules/has-ansi,git+https://github.com/sindresorhus/has-ansi,MIT,MIT,MIT,MIT
has-unicode,1.0.0,/Users/dzdrazil/work/random_tests/redux-universal/node_modules/gulp-sass/node_modules/node-sass/node_modules/pangyp/node_modules/npmlog/node_modules/gauge/node_modules/has-unicode,git+https://github.com/iarna/has-unicode,ISC,ISC,,
hash.js,1.0.3,/Users/dzdrazil/work/random_tests/redux-universal/node_modules/browserify/node_modules/crypto-browserify/node_modules/browserify-sign/node_modules/elliptic/node_modules/hash.js,git+ssh://git@github.com/indutny/hash.js,MIT,MIT,,MIT
hawk,1.1.1,/Users/dzdrazil/work/random_tests/redux-universal/node_modules/gulp-sass/node_modules/node-sass/node_modules/pangyp/node_modules/request/node_modules/hawk,http://github.com/hueniverse/hawk,BSD,BSD,,
hawk,3.1.0,/Users/dzdrazil/work/random_tests/redux-universal/node_modules/gulp-sass/node_modules/node-sass/node_modules/request/node_modules/hawk,http://github.com/hueniverse/hawk,BSD-3-Clause,BSD-3-Clause,,
hoek,2.14.0,/Users/dzdrazil/work/random_tests/redux-universal/node_modules/gulp-sass/node_modules/node-sass/node_modules/request/node_modules/hawk/node_modules/hoek,http://github.com/hapijs/hoek,BSD-3-Clause,BSD-3-Clause,,
hoek,0.9.1,/Users/dzdrazil/work/random_tests/redux-universal/node_modules/gulp-sass/node_modules/node-sass/node_modules/pangyp/node_modules/request/node_modules/hawk/node_modules/hoek,http://github.com/spumko/hoek,BSD,BSD,,
home-or-tmp,1.0.0,/Users/dzdrazil/work/random_tests/redux-universal/node_modules/babelify/node_modules/babel-core/node_modules/home-or-tmp,git+https://github.com/sindresorhus/home-or-tmp,MIT,MIT,MIT,MIT
htmlescape,1.1.0,/Users/dzdrazil/work/random_tests/redux-universal/node_modules/browserify/node_modules/htmlescape,http://github.com/zertosh/htmlescape,Unknown,,,
http-errors,1.3.1,/Users/dzdrazil/work/random_tests/redux-universal/node_modules/express/node_modules/send/node_modules/http-errors,git+https://github.com/jshttp/http-errors,MIT,MIT,MIT,
http-signature,0.11.0,/Users/dzdrazil/work/random_tests/redux-universal/node_modules/gulp-sass/node_modules/node-sass/node_modules/request/node_modules/http-signature,http://github.com/joyent/node-http-signature,MIT,MIT,,
http-signature,0.10.1,/Users/dzdrazil/work/random_tests/redux-universal/node_modules/gulp-sass/node_modules/node-sass/node_modules/pangyp/node_modules/request/node_modules/http-signature,http://github.com/joyent/node-http-signature,MIT,MIT,,
https-browserify,0.0.0,/Users/dzdrazil/work/random_tests/redux-universal/node_modules/browserify/node_modules/https-browserify,http://github.com/substack/https-browserify,MIT,MIT,MIT,MIT
iconv-lite,0.4.11,/Users/dzdrazil/work/random_tests/redux-universal/node_modules/babelify/node_modules/babel-core/node_modules/regenerator/node_modules/commoner/node_modules/iconv-lite,http://github.com/ashtuchkin/iconv-lite,MIT,MIT,,
ieee754,1.1.6,/Users/dzdrazil/work/random_tests/redux-universal/node_modules/browserify/node_modules/buffer/node_modules/ieee754,http://github.com/feross/ieee754,MIT,MIT,MIT,
immutable,3.7.4,/Users/dzdrazil/work/random_tests/redux-universal/node_modules/immutable,http://github.com/facebook/immutable-js,BSD;BSD-3-Clause,BSD-3-Clause,BSD,
indent-string,1.2.2,/Users/dzdrazil/work/random_tests/redux-universal/node_modules/gulp-util/node_modules/dateformat/node_modules/meow/node_modules/indent-string,git+https://github.com/sindresorhus/indent-string,MIT,MIT,MIT,MIT
indexof,0.0.1,/Users/dzdrazil/work/random_tests/redux-universal/node_modules/browserify/node_modules/vm-browserify/node_modules/indexof,(none),Unknown,,,
inflight,1.0.4,/Users/dzdrazil/work/random_tests/redux-universal/node_modules/gulp-sass/node_modules/node-sass/node_modules/glob/node_modules/inflight,http://github.com/isaacs/inflight,ISC,ISC,ISC,
inherits,1.0.0,/Users/dzdrazil/work/random_tests/redux-universal/node_modules/gulp-sass/node_modules/node-sass/node_modules/gaze/node_modules/globule/node_modules/glob/node_modules/inherits,http://github.com/isaacs/inherits,Unknown,,,
inherits,2.0.1,/Users/dzdrazil/work/random_tests/redux-universal/node_modules/gulp-minify-css/node_modules/readable-stream/node_modules/inherits,http://github.com/isaacs/inherits,ISC,ISC,ISC,
ini,1.3.4,/Users/dzdrazil/work/random_tests/redux-universal/node_modules/gulp-sass/node_modules/node-sass/node_modules/npmconf/node_modules/ini,http://github.com/isaacs/ini,ISC,ISC,ISC,
